code,location,start_date,end_date,no2,period
143-5,Van de Perre Zuid,2021-05-21 17:40:00+02:00,2021-06-18 15:53:00+02:00,24,6
143-6,Van de Perre Zuid,2021-05-21 17:41:00+02:00,2021-06-18 15:51:00+02:00,26,6
143-7,Van de Perre Noord,2021-05-21 17:44:00+02:00,2021-06-18 16:00:00+02:00,27,6
143-8,Van de Perre Noord,2021-05-21 17:46:00+02:00,2021-06-18 16:03:00+02:00,23,6
143-9,Turnhoutsebaan BO West,2021-05-24 16:03:00+02:00,2021-06-20 07:49:00+02:00,38,6
143-10,Turnhoutsebaan BO West,2021-05-24 16:03:00+02:00,2021-06-20 07:49:00+02:00,38,6
143-11,Turnhoutsebaan BO Oost,2021-05-24 16:14:00+02:00,2021-06-20 07:55:00+02:00,14,6
143-12,Turnhoutsebaan BO Oost,2021-05-24 16:14:00+02:00,2021-06-20 07:55:00+02:00,29,6
143-13,Turnhoutsebaan DE West,2021-05-21 15:17:00+02:00,2021-06-19 20:30:00+02:00,31,6
143-14,Turnhoutsebaan DE West,2021-05-21 15:17:00+02:00,2021-06-19 20:30:00+02:00,31,6
143-15,Turnhoutsebaan DE Oost,2021-05-21 15:24:00+02:00,2021-06-19 20:35:00+02:00,30,6
143-16,Turnhoutsebaan DE Oost,2021-05-21 15:24:00+02:00,2021-06-19 20:35:00+02:00,31,6
143-17,Provinciestraat Zuid,2021-05-22 16:31:00+02:00,2021-06-19 17:29:00+02:00,28,6
143-18,Provinciestraat Zuid,2021-05-22 16:31:00+02:00,2021-06-19 17:29:00+02:00,29,6
143-18,VMM Belgiëlei,2021-05-22 16:13:00+02:00,2021-06-19 17:11:00+02:00,20,6
143-20,VMM Belgiëlei,2021-05-22 16:13:00+02:00,2021-06-19 17:11:00+02:00,21,6
143-21,Provinciestraat Noord,2021-05-22 16:25:00+02:00,2021-06-19 17:22:00+02:00,25,6
143-22,Provinciestraat Noord,2021-05-22 16:25:00+02:00,2021-06-19 17:22:00+02:00,26,6
143-23,Pothoekstraat Zuid,2021-05-21 18:53:00+02:00,2021-06-19 08:51:00+02:00,35,6
143-24,Pothoekstraat Zuid,2021-05-21 18:53:00+02:00,2021-06-19 08:51:00+02:00,34,6
143-25,Pothoekstraat Noord,2021-05-21 18:49:00+02:00,2021-06-19 08:49:00+02:00,37,6
143-26,Pothoekstraat Noord,2021-05-21 18:49:00+02:00,2021-06-19 08:49:00+02:00,37,6
143-27,Borsbeekstraat Zuid,2021-05-21 18:31:00+02:00,2021-06-19 08:36:00+02:00,15,6
143-28,Borsbeekstraat Zuid,2021-05-21 18:31:00+02:00,2021-06-19 08:36:00+02:00,20,6
