Timestamp,Value,Quality Code
2021-01-03 15:30:00+00:00,1015.84,130
2021-01-03 15:45:00+00:00,1015.9,130
2021-01-03 16:00:00+00:00,1015.87,130
2021-01-03 16:15:00+00:00,1015.94,130
2021-01-03 16:30:00+00:00,1015.91,130
2021-01-03 16:45:00+00:00,1015.87,130
2021-01-03 17:00:00+00:00,1015.85,130
2021-01-03 17:15:00+00:00,1015.88,130
2021-01-03 17:30:00+00:00,1015.94,130
2021-01-03 17:45:00+00:00,1015.97,130
2021-01-03 18:00:00+00:00,1016.04,130
2021-01-03 18:15:00+00:00,1016.09,130
2021-01-03 18:30:00+00:00,1016.17,130
2021-01-03 18:45:00+00:00,1016.33,130
2021-01-03 19:00:00+00:00,1016.36,130
2021-01-03 19:15:00+00:00,1016.46,130
2021-01-03 19:30:00+00:00,1016.43,130
2021-01-03 19:45:00+00:00,1016.46,130
2021-01-03 20:00:00+00:00,1016.56,130
2021-01-03 20:15:00+00:00,1016.54,130
2021-01-03 20:30:00+00:00,1016.52,130
2021-01-03 20:45:00+00:00,1016.49,130
2021-01-03 21:00:00+00:00,1016.53,130
2021-01-03 21:15:00+00:00,1016.58,130
2021-01-03 21:30:00+00:00,1016.56,130
2021-01-03 21:45:00+00:00,1016.55,130
2021-01-03 22:00:00+00:00,1016.53,130
2021-01-03 22:15:00+00:00,1016.53,130
2021-01-03 22:30:00+00:00,1016.46,130
2021-01-03 22:45:00+00:00,1016.41,130
2021-01-03 23:00:00+00:00,1016.34,130
2021-01-03 23:15:00+00:00,1016.25,130
2021-01-03 23:30:00+00:00,1016.17,130
2021-01-03 23:45:00+00:00,1016.14,130
2021-01-04 00:00:00+00:00,1016.04,130
2021-01-04 00:15:00+00:00,1015.94,130
2021-01-04 00:30:00+00:00,1015.84,130
2021-01-04 00:45:00+00:00,1015.7,130
2021-01-04 01:00:00+00:00,1015.58,130
2021-01-04 01:15:00+00:00,1015.53,130
2021-01-04 01:30:00+00:00,1015.56,130
2021-01-04 01:45:00+00:00,1015.56,130
2021-01-04 02:00:00+00:00,1015.63,130
2021-01-04 02:15:00+00:00,1015.6,130
2021-01-04 02:30:00+00:00,1015.51,130
2021-01-04 02:45:00+00:00,1015.48,130
2021-01-04 03:00:00+00:00,1015.39,130
2021-01-04 03:15:00+00:00,1015.29,130
2021-01-04 03:30:00+00:00,1015.2,130
2021-01-04 03:45:00+00:00,1015.17,130
2021-01-04 04:00:00+00:00,1015.11,130
2021-01-04 04:15:00+00:00,1015.13,130
2021-01-04 04:30:00+00:00,1015.17,130
2021-01-04 04:45:00+00:00,1015.19,130
2021-01-04 05:00:00+00:00,1015.15,130
2021-01-04 05:15:00+00:00,1015.17,130
2021-01-04 05:30:00+00:00,1015.19,130
2021-01-04 05:45:00+00:00,1015.31,130
2021-01-04 06:00:00+00:00,1015.4,130
2021-01-04 06:15:00+00:00,1015.49,130
2021-01-04 06:30:00+00:00,1015.56,130
2021-01-04 06:45:00+00:00,1015.63,130
2021-01-04 07:00:00+00:00,1015.72,130
2021-01-04 07:15:00+00:00,1015.81,130
2021-01-04 07:30:00+00:00,1015.9,130
2021-01-04 07:45:00+00:00,1015.96,130
2021-01-04 08:00:00+00:00,1016.03,130
2021-01-04 08:15:00+00:00,1016.09,130
2021-01-04 08:30:00+00:00,1016.15,130
2021-01-04 08:45:00+00:00,1016.26,130
2021-01-04 09:00:00+00:00,1016.38,130
2021-01-04 09:15:00+00:00,1016.53,130
2021-01-04 09:30:00+00:00,1016.65,130
2021-01-04 09:45:00+00:00,1016.68,130
2021-01-04 10:00:00+00:00,1016.75,130
2021-01-04 10:15:00+00:00,1016.82,130
2021-01-04 10:30:00+00:00,1016.91,130
2021-01-04 10:45:00+00:00,1016.88,130
2021-01-04 11:00:00+00:00,1016.81,130
2021-01-04 11:15:00+00:00,1016.65,130
2021-01-04 11:30:00+00:00,1016.5,130
2021-01-04 11:45:00+00:00,1016.46,130
2021-01-04 12:00:00+00:00,1016.4,130
2021-01-04 12:15:00+00:00,1016.24,130
2021-01-04 12:30:00+00:00,1016.11,130
2021-01-04 12:45:00+00:00,1016.0,130
